;date;lhs_belligerents;lhs_leaders;loc;outcome;rhs_leaders;lhs_casualties;lhs_strengths;rhs_casualties;rhs_strengths;rhs_belligerents
Battle of Nájera;3 April 1367;Peter of Castile	Kingdom of England	Duchy of Aquitaine	Wikimedia Error	Duchy of Brittany	Kingdom of Navarre	Holy Roman Empire	County of Hainaut	Duchy of Normandy;Peter of Castile	Edward the Black Prince	Jean III de Grailly	Wikimedia Error	John of Gaunt	John Chandos	Wikimedia Error	James IV of Majorca;Nájera;Pyrrhic victory for Peter I;Wikimedia Error	Bertrand du Guesclin	Alfonso I, Duke of Gandia	Tello Alfonso, Lord of Aguilar de Campoo;Unknown[citation needed];Total: more than 10,000.[1]	6,000 elite European mercenaries	2,000 Aquitaine soldiers	1,000 English soldiers	800 Castilian soldiers	500 English Longbowmen	300 Navarrese soldiers	Troops from Majorca	Henry deserters and other Spanish followers of King Peter.;Heavy losses[citation needed];Total: more than 4,500[1]	2,500 Castilian soldiers	1,000 elite French mercenaries	1,000 Aragonese soldiers	Footsoldiers (escuderos de pie);Wikimedia Error	Crown of Aragon	France
Battle of Montiel;14 March 1369;Crown of Castile	Emirate of Granada;Peter of Castile;Montiel, La Mancha, Castile;Decisive Franco-Castilian victory;Wikimedia Error	Wikimedia Error;unknown;~15000 troops;unknown;unknown;Crown of Castile	Kingdom of France
Siege of Algeciras (1369);28 July 1369 – 30 July 1369;Emirate of Granada;Muhammad V of Granada;AlgecirasCoordinates: 36°07′39″N 5°27′14″W﻿ / ﻿36.1275°N 5.453889°W;Reconquest of the city by Granada;Wikimedia Error;;;;;Kingdom of Castile
Battle of Rudau;17 or 18 February 1370;Teutonic Order;Winrich von Kniprode	Wikimedia Error;Rudau north of Königsberg54°52′19″N 20°27′37″E﻿ / ﻿54.87194°N 20.46028°ECoordinates: 54°52′19″N 20°27′37″E﻿ / ﻿54.87194°N 20.46028°E;Teutonic victory;Algirdas	Kęstutis;26 Knights and 100[3] or 300 men[4];;1,000 men[3] or 3,500 men[4];2,000–3,000 (realistically)[1][2];Grand Duchy of Lithuania
Battle of Pontvallain;4 December 1370;Early modern France;Bertrand du Guesclin	Wikimedia Error;Pontvallain, Sarthe, north-west France;French victory;Robert Knolles	Wikimedia Error	Walter Fitzwalter, 3rd Baron Fitzwalter	John Minsterworth;Light;5,200;Heavy;4,000–6,000 men;Kingdom of England
Battle of Maritsa;26 September 1371;Serbian Empire;Wikimedia Error	Uglješa Mrnjavčević;Maritsa River (near Chernomen (today Ormenio) in Greece);Decisive Ottoman victory[1];Lala Şahin Pasha	Evrenos;heavy combat losses[8]	thousands drowned[9];50,000[2]-70,000 men[2][3][4][5][6];Unknown;800 men[2][7];Ottoman Empire
Battle of La Rochelle;22–23 June 1372;Kingdom of England;Wikimedia Error;off La Rochelle46°09′30″N 01°13′40″W﻿ / ﻿46.15833°N 1.22778°W;Castilian victory[1];Wikimedia Error;48 ships sunk or captured[1]	400 knights and 8,000 soldiers captured[1]	All ships sunk or captured[1][5]	800 men killed	Between 160 and 400 knights prisoners[5];14–57 ships and barges[1][2][3];minor;12–53 ships[1][4];Crown of Castile
Battle of Chiset;21 March 1373;Kingdom of England;John Devereux, 1st Baron Devereux;Chizé, France46°06′59″N 0°20′47″W﻿ / ﻿46.1164°N 0.3464°WCoordinates: 46°06′59″N 0°20′47″W﻿ / ﻿46.1164°N 0.3464°W;Decisive French victory;Bertrand du Guesclin;;700;;1500;Kingdom of France
Battle of Kulikovo;September 8, 1380;Grand Duchy of Moscow	Wikimedia Error	Principality of Yaroslavl	Vladimir-Suzdal	Starodub-on-the-Klyazma	Mologa	Wikimedia Error	Vyazma	Wikimedia Error	Wikimedia Error	Wikimedia Error	Bryansk;Dmitry Donskoy	Vladimir the Bold;Kulikovo Field near the Don River;"Decisive Muscovy victory;[2] Title of Grand Duke is secured for the Moscow faction First historical mention of Muscovy as an independent country[citation needed] Decline of the Golden Horde";Wikimedia Error	Wikimedia Error;;from 30,000[3] to 50,000-60,000[4];;from 30,000[3] to 100,000[5] – 150,000[6];Golden Horde
Battle of North Walsham;25 or 26 June 1381;Bishop of Norwich;Henry Despenser;near North Walsham, Norfolk, England;Bishop of Norwich's forces' victory;Felmingham;unknown;unknown;unknown;unknown;Norfolk
Battle of Roosebeke;27 November 1382;Kingdom of France	Duchy of Burgundy	County of Flanders;Charles VI of France	Philip the Bold	Olivier de Clisson	Louis de Sancerre	Jean IV de Mauquenchy;Roosebeke (Westrozebeke), near Kortrijk, Belgium (At that time located in the County of Flanders);French victory;Wikimedia Error;100 killed[3];10,000[1]	6,500 men-at-arms	2,000 pikemen	1,200 crossbowmen and archers;27,500 killed[3];30,000–40,000[2];Ghent
Siege of Moscow (1382);August 23–27, 1382;Golden Horde	Principality of Nizhny Novgorod-Suzdal;Tokhtamysh;Moscow;Tatars sacked Moscow;Algirdas;;;;;Grand Duchy of Moscow
Siege of Lisbon (1384);29 May to 3 September 1384;Kingdom of Portugal;John I of Portugal	Wikimedia Error;Lisbon, Portugal;Portuguese victory[1];John I of Castile	Fernando Sánchez de Tovar;High;Unknown;Very high;"5,000 spearmen	1,000 Jinetes	6,000 crossbowmen	""Countless"" infantry soldiers [2]";Crown of Castile
Battle of Trancoso;29 May 1385;Kingdom of Portugal;Wikimedia Error	Wikimedia Error	Wikimedia Error;Trancoso, Portugal;Portuguese victory;Wikimedia Error;Unknown;About 300 men;400 dead[1]	6 out of 7 captains killed;About 600 men;Crown of Castile
Battle of Aljubarrota;14 August 1385;Kingdom of Portugal	Kingdom of England;John I of Portugal	Nuno Álvares Pereira;Near Aljubarrota, central Portugal;Decisive Portuguese victory;John I of Castile	Pedro Álvares Pereira;Less than 1,000;About 6,600 men:[1]	4,000 foot soldiers	1,700 lances	800 crossbowmen	200 English longbowmen;4,000 to 5,000	5,000 in the aftermath;About 31,000 men:[1]	15,000 foot soldiers	6,000 lances	8,000 crossbowmen	More than 2,000 French heavy knights	15 mortars;Crown of Castile	Kingdom of France	Crown of Aragon
Battle of Valverde (1385);14 October 1385;Kingdom of Portugal;Nuno Álvares Pereira;Valverde de Mérida, Castile;Portuguese victory[1];Wikimedia Error;High;About 3,000 men:[3]	2,000 foot soldiers	1,000 lances	Several crossbowman;Very High;About 20,000 men[4];Crown of Castile
Battle of Savra;18 September 1385;Ottoman Empire;Çandarlı Kara Halil Hayreddin Pasha;Saurian field, near Lushnjë;Decisive Ottoman victory[1];Balša II	Wikimedia Error;;40,000[2];;Unknown;Zeta under the Balšići
Battle of Sempach;9 July 1386;Old Swiss Confederacy	Canton of Lucerne	Canton of Uri	Canton of Schwyz	Unterwalden;Petermann von Gundoldingen;near Sempach;Decisive Swiss victory;Leopold III, Duke of Austria;ca. 200-600;ca. 1500 – 2000;ca. 1,500, among them ca. 400 noblemen[1];ca. 4,000, including 1,500 knights;Duchy of Austria
Battle of Pločnik;Sometime between 1385 and 1387[A];Moravian Serbia;Lazar of Serbia;Pločnik;Serbian victory;Lala Şahin Pasha;Small casualties;c. 15,000;12,000 killed;c.  20,000 in total;Ottoman Empire
Siege of Tbilisi (1386);1386;Kingdom of Georgia;Bagrat V of Georgia;Tbilisi, Kingdom of Georgia41°43′N 44°47′E﻿ / ﻿41.717°N 44.783°ECoordinates: 41°43′N 44°47′E﻿ / ﻿41.717°N 44.783°E;Decisive Timurid victory,;Wikimedia Error;Unknown. Probably heavy;Unknown, probably fewer;Unknown. Probably heavy;Unknown, probably more;Timurid Empire
Battle of Castagnaro;11 March 1387;Province of Verona;Giovanni Ordelaffi	Wikimedia Error	Da Polenta family;Castagnaro, Verona, Veneto, Italy;Paduan victory;John Hawkwood	Wikimedia Error;(4,000-7,000 total casualties)	716 killed	846 wounded	+4,000 men captured along with the entirety  of the Veronese artillery and both Ordelaffi and da Polenta;≈ 11,000-16,000 men with ( 12,000-16000 reserves, mostly peasants)[1];Light;Total:  ≈ 7,000-9,200 men	Soldiers brought by John Hawkwood	≈ 600 cavalry	≈ 500 archers	The army of Padua and their other condottieri	≈8,000 men;Province of Padua	White Company
Siege of Isfahan (1387);1387;Muzaffarids (Iran);Ali ibn Husayn Zayn al-Abidin;Isfahan, Iran;Decisive Timurid victory, Isfahan and nearby territories are annexed.;Timur;;;;;Timurid Empire
Battle of Buir Lake;1388;Ming dynasty;Lan Yu (general);Buir Lake, China–Mongolia border;Decisive Ming victory;Uskhal Khan Tögüs Temür;;150,000 soldiers;;---;Northern Yuan dynasty
Battle of Otterburn;5 August or 19 August 1388;Kingdom of Scotland;James Douglas, 2nd Earl of Douglas;1 mile northwest of Otterburn, Northumberland;Decisive Scottish victory;Henry Percy (Hotspur);around 500;around 2,900;1,500 + killed, wounded, and captured;around 3,200;Kingdom of England
Battle of Bileća;c. 26 August 1388;Kingdom of Bosnia;Vlatko Vuković;Bileća;Decisive Bosnian victory;Lala Şahin Pasha;;;;;Rise of the Ottoman Empire
Battle of Kosovo Polje;June 15,[A] 1389;Ottoman Empire;Murad I	Bayezid I;Kosovo field, District of Branković42°43′N 21°06′E﻿ / ﻿42.717°N 21.100°ECoordinates: 42°43′N 21°06′E﻿ / ﻿42.717°N 21.100°E;Tactically inconclusive[1][2][3][4][5][6] Strategic Ottoman victory Mutual heavy losses—devastating for the less numerous Serbs[7];Wikimedia Error	Wikimedia Error	Vlatko Vuković	John of Palisna	Wikimedia Error;Sultan Murad I and most of the troops[1][2];~ 27,000–40,000[B];Prince Lazar and most of the troops[1][2];~ 12,000–30,000[B];Moravian Serbia	District of Branković	Kingdom of Bosnia	Knights Hospitaller
Battle of the Kondurcha River;18 June 1391;Timurid Empire;Timur	Muhammad Sultan Mirza	Umar Shaikh Mirza I	Miran Shah;Volga Bulgaria, Golden Horde;Timur victory;Tokhtamysh;;;;;Golden Horde
Battle of Rovine;17 May 1395;Wallachia;Wikimedia Error;Rovine, Wallachia;Wallachian tactical victory[1][2][3][4];Bayezid I	Stefan Lazarević	Prince Marko	Konstantin Dejanović	Wikimedia Error;Heavy;;Heavy;;Ottoman Empire
Battle of the Terek River;April 15, 1395;Timurid Empire;Wikimedia Error;North Caucasus, Golden Horde;Decisive Timurid Victory End of Tokhtamysh Rule in Jochid Russia[1];Tokhtamysh;15,000;121,500;30,000-40,000;132,750;Golden Horde
Battle of Nicopolis;25 September 1396;Ottoman Empire	Moravian Serbia;Bayezid I	Çandarlızade Ali Pasha	Stefan Lazarević	Wikimedia Error;Nicopolis, Ottoman Empire43°42′21″N 24°53′45″E﻿ / ﻿43.70583°N 24.89583°ECoordinates: 43°42′21″N 24°53′45″E﻿ / ﻿43.70583°N 24.89583°E;Decisive Ottoman victory;Sigismund, Holy Roman Emperor	Stibor of Stiboricz	Croatia in union with Hungary	Nicholas II Garai	Philip of Artois, Count of Eu	Wikimedia Error	John the Fearless	Enguerrand VII de Coucy	Wikimedia Error	Jean de Carrouges	Mircea I of Wallachia	Wikimedia Error	Ivan Sratsimir of Bulgaria	Philibert de Naillac;Moderate casualties, including the massacre of ≈1,000 civilian hostages (Turkish) by the Crusaders the night before the battle.;Heavily disputed but credibly estimated at perhaps 15,000-60,000.[6][7] See the Strength of forces section.;"Most of the Crusader army was destroyed or captured; a small portion, including Sigismund, escaped.[9]	300–3,000 prisoners were executed.[10][11]";Heavily disputed but credibly estimated at perhaps 16,000-120,000.[8] See the Strength of forces section.;Wikimedia Error	Holy Roman Empire	Wikimedia Error	Duchy of Savoy	Old Swiss Confederacy	Kingdom of France	Duchy of Burgundy	Kingdom of Hungary (1301–1526)	Voivode of Transylvania	Wikimedia Error	Wallachia	Knights Hospitaller	Republic of Venice	Republic of Genoa	Second Bulgarian Empire	Kingdom of England	Crown of the Kingdom of Poland	Crown of Castile	Crown of Aragon	Kingdom of Portugal	Kingdom of Navarre	Teutonic Order	Byzantine Empire under the Palaiologos dynasty
Battle of the Vorskla River;August 12, 1399;Golden Horde;Edigu	Wikimedia Error;Vorskla River (now located in Ukraine);Decisive Golden Horde victory;Vytautas	Tokhtamysh;Unknown;90,000;Heavy (including 11 Teutonic Knights including Hanus and Thomas Surville);38,000, with 50 princes;Grand Duchy of Lithuania	Kingdom of Poland (1385–1569)	Moldavia	Wallachia	Teutonic Order
Siege of Damascus (1400);1400;Timurid Empire;Wikimedia Error;Damascus,Syria;Decisive Timurid victory[2][3] Timur sacks Damascus;An-Nasir Faraj;Unknown;Unknown;All killed;Unknown;Mamluk Sultanate (Cairo)
Battle of Angora;20 July 1402;Timurid Empire;Wikimedia Error	Wikimedia Error	Khalil Sultan	Miran Shah	Wikimedia Error	Sultan Husayn Tayichiud	Muhammad Sultan Mirza	Pir Muhammad (son of Jahangir)	Taj al-Din Shah-i Shahan Abu'l Fath;Çubuk plain near Ankara;Timurid victory;Bayezid I	Süleyman Çelebi	Mehmed I	Stefan Lazarević	Đurađ Branković;up to 40,000;140,000;up to 40,000;85,000;Ottoman Empire	Moravian Serbia	District of Branković
Battle of Nesbit Moor (1402);22 June 1402;Kingdom of Scotland;Wikimedia Error;Nesbit Moor55°45′23″N 2°17′41″W﻿ / ﻿55.75639°N 2.29472°WCoordinates: 55°45′23″N 2°17′41″W﻿ / ﻿55.75639°N 2.29472°W;English Victory;Wikimedia Error;High;400;Low;200;Kingdom of England
Battle of Homildon Hill;14 September 1402;Kingdom of Scotland;Archibald Douglas, 4th Earl of Douglas;Wooler, Northumberland, England;Decisive English victory;Henry Percy, 1st Earl of Northumberland	Henry Percy (Hotspur)	Wikimedia Error;Very high;12,000;Somewhat low;12,000;Kingdom of England
Battle of Pwll Melyn;Spring 1405;Wikimedia Error;Wikimedia Error	Tudur ap Gruffudd;Pwll Melyn, near Usk;Decisive English victory;Richard Grey, 4th Baron Grey of Codnor	Dafydd Gam;1500;Unknown;Light;Unknown;England
Battle of Sanluri;30 June 1409;Kingdom of Sicily	Crown of Aragon;Martin I of Sicily;Sanluri, Sardinia;Decisive Aragonese-Sicilian victory;Wikimedia Error;;;;;Judicate of Arborea	Republic of Genoa
Battle of Grunwald;15July1410;Kingdom of Poland (1385–1569)	Lesser Poland	Kraków Voivodeship (14th century – 1795)	Wikimedia Error	Łęczyca Voivodeship	Lublin Voivodeship (1474–1795)	Greater Poland	Poznań Voivodeship (14th century to 1793)	Kalisz Voivodeship (1314–1793)	Wikimedia Error	Wikimedia Error	Sieradz Voivodeship	Wikimedia Error	Dobrzyń Land	Ruthenia	Wikimedia Error	Chełm Land	Wikimedia Error	Wikimedia Error	Podolia	Grand Duchy of Lithuania	Trakai	Vilnius	Grodno	Kaunas	Wikimedia Error	Medininkai	Wikimedia Error	Wikimedia Error	Wikimedia Error	Vitebsk	Kiev	Pinsk	Drohiczyn	Wikimedia Error	Navahrudak	Brest, Belarus	Vawkavysk	Kremenets	Starodub	Duchy of Masovia	Wikimedia Error	Wikimedia Error	Wikimedia Error	Moldavia	Principality of Smolensk	Lipka Tatars	Golden Horde	Kingdom of Bohemia	Margraviate of Moravia	Margraviate of Moravia	Silesia	Wallachia	Old Swiss Confederacy;Władysław II Jagiełło	Vytautas	Sigismund Korybut	Janusz I of Warsaw	Siemowit VI of Masovia	Siemowit V of Masovia	Wikimedia Error	Wikimedia Error	Alexander I of Moldavia	Wikimedia Error	Wikimedia Error;Between villages of Grunwald (Grünfelde) and Stębark (Tannenberg), western Masuria, PolandCoordinates: 53°29′10″N 20°07′29″E﻿ / ﻿53.48611°N 20.12472°E;Decisive Polish–Lithuanian victory;Ulrich von Jungingen	Friedrich von Wallenrode	Wikimedia Error	Wikimedia Error	Wikimedia Error	Casimir V, Duke of Pomerania	Konrad VII the White;~ 2,000 killed;16,000–39,000 men[6];Very heavy:	8,000 Teutonic Knights killed,	14,000 taken prisoner,	203–211 out of 270 Friars died[7];11,000–27,000 men[6];Teutonic Order	State of the Teutonic Order	Commandery	Wikimedia Error	Wikimedia Error	Gdańsk	Neman, Russia	Kowalewo Pomorskie	Brodnica	Żuławy Wiślane	Chełmno Land	Olsztyn	Wikimedia Error	Balga	Ushakovo	Braniewo	Bratian	Nowe Miasto Lubawskie	Wikimedia Error	Wikimedia Error	Gdańsk	Tczew	Grudziądz	Mamonovo	Chełmno	Königsberg	Königsberg	Wikimedia Error	Gniew	Nieszawa	Ostróda	Wikimedia Error	Neman, Russia	Rogóźno, Kuyavian-Pomeranian Voivodeship	Człuchów	Świecie	Wikimedia Error	Toruń	Tuchola	Kingdom of Germany	Livonia	Kingdom of Germany	Westphalia	Braunschweig	Margravate of Meissen	Livonia	Rhineland	Old Swiss Confederacy	Duchy of Pomerania	Wikimedia Error	Prince-Bishopric of Warmia	Wikimedia Error	Wikimedia Error	Wikimedia Error	Kingdom of Germany	Alsace	Czechs	Kingdom of Bohemia	Margraviate of Moravia	Silesia	Duchy of Pomerania	Duchy of Luxemburg	County of Holland	Old Swiss Confederacy	Kingdom of England	France in the Middle Ages	Kingdom of Hungary (1301–1526)
Battle of Harlaw;24 July 1411[1];Robert Stewart, Duke of Albany;Alexander Stewart, Earl of Mar;north of Inverurie, Scotlandgrid reference NJ75182422[2]Coordinates: 57°18′29″N 2°24′43″W﻿ / ﻿57.30806°N 2.41194°W;Tactical drawStrategic victory for Earl of Mar;Wikimedia Error;600 dead;Several thousand;900 dead;Less than 10,000;Lord of the Isles
Battle of Agincourt;25 October 1415 (Saint Crispin's Day);Kingdom of England;Henry V of England	Edward, 2nd Duke of York	Thomas Camoys, 1st Baron Camoys	Thomas Erpingham;Azincourt, County of Saint-Pol (present-day Pas-de-Calais),50°27′49″N 2°8′30″E﻿ / ﻿50.46361°N 2.14167°ECoordinates: 50°27′49″N 2°8′30″E﻿ / ﻿50.46361°N 2.14167°E;English victory;Charles I d'Albret	Jean II Le Maingre	Charles, Duke of Orléans	Wikimedia Error	Wikimedia Error;112–600 killed[11][12]	Unknown wounded (presumably light)[12];"6,000[1][2][3] to 9,000[4]	(modern estimates; see Numbers at Agincourt)	• About ​5⁄6 archers	• ​1⁄6 dismounted men-at-arms in heavy armour";6,000 killed[13][14]	700–2,200 captured[15];14,000 to 15,000 fighting men [5] or up to 25,000 if counting varlets[6][7]	• 10,000 men-at-arms[8]	• 4,000–5,000 archers and crossbowmen[9]	• Up to 10,000 armed varlets present[10];Kingdom of France
Siege of Rouen;29July1418– 19January1419;Kingdom of England;Henry V of England	Wikimedia Error	Thomas Beaufort, Duke of Exeter	Thomas Montagu, 4th Earl of Salisbury	John Holland, 2nd Duke of Exeter	Wikimedia Error;Rouen, Normandy, FranceCoordinates: 49°26′24″N 1°05′38″E﻿ / ﻿49.44000°N 1.09389°E;English victory;Wikimedia Error	Alain Blanchard;;10,000[3];12,000 civilian dead;4,000[4];Kingdom of France	Burgundian (party)
Siege of Ceuta (1419);August, 1419;Kingdom of Portugal;Wikimedia Error;Ceuta;Portuguese victory;Wikimedia Error;;;;;Wikimedia Error	Emirate of Granada
Battle of Sudomer;25 March 1420;Landfrieden	Plzeň	Knights Hospitaller	Commandery	Strakonice;Wikimedia Error	Wikimedia Error	Peter of Sternberg	Wikimedia Error	Hanuš of Kolowrat;Southern Bohemia;Hussite victory;Wikimedia Error	Jan Žižka;Heavy;2,000 cavalry;Heavy, at least 3 wagons destroyed	30 captured;400 infantry	12 war wagons	few cavalrymen;Hussites	Taborites
Battle of Vitkov Hill;12 June – 14 July 1420;Crusades	Holy Roman Empire	Margravate of Meissen	Duchy of Austria	Margraviate of Moravia	Kingdom of Hungary (1301–1526);Sigismund, Holy Roman Emperor	Pippo Spano	Oldřich of Boskovice;Vítkov Hill (outside Prague, Czech Republic);Decisive Hussite victory;Jan Žižka;400-500 killed;7,000-8,000 knights;2-3 killed;80 soldiers[2]	Reinforcements:	50 shooters	Unknown number of militia with flails[2];Hussites	Prague Hussites	Taborites	Hussites of Žatec and Louny
